arrival_step,cpu,mem,work,slack
41,0.2508,0.1084,5.0,23
41,0.1292,0.12,4.3809,11
42,0.5,0.1137,1.1251,13
42,0.4007,0.2868,3.3853,12
42,0.13,0.4347,2.9991,27
42,0.5,0.5,1.1759,24
43,0.1743,0.355,2.4302,10
43,0.3466,0.5,4.655,25
43,0.4469,0.2496,4.009,24
43,0.387,0.234,4.4444,11
44,0.1252,0.1763,1.1758,15
44,0.439,0.5,3.5255,11
45,0.159,0.4216,4.1864,11
46,0.4648,0.5,2.2837,19
46,0.1,0.3132,5.0,14
46,0.418,0.252,1.0,28
47,0.4379,0.2085,1.2298,25
47,0.1425,0.1,1.0,17
47,0.2609,0.1,1.5683,25
47,0.1048,0.1013,1.4569,26
49,0.2433,0.2049,1.0,22
49,0.5,0.1051,2.0296,21
49,0.1059,0.2664,3.7485,21
49,0.3822,0.38,2.7536,14
49,0.5,0.3935,1.6267,30
49,0.1485,0.3281,1.6054,19
51,0.1427,0.1852,1.5749,29
51,0.2678,0.3139,3.0548,26
51,0.2511,0.4801,1.2089,15
51,0.1,0.1,1.3698,26
52,0.1936,0.1757,1.0,27
52,0.454,0.1,1.7016,16
52,0.1,0.2752,1.1933,26
53,0.1026,0.3949,2.4616,17
53,0.1799,0.4151,1.0937,24
53,0.1403,0.3397,1.0,15
53,0.5,0.2872,5.0,22
53,0.1853,0.4081,1.0,19
53,0.13,0.4584,2.7887,26
55,0.1774,0.169,1.0,25
55,0.1,0.1791,2.4618,20
56,0.1749,0.267,1.0,13
56,0.2884,0.247,2.9223,12
56,0.5,0.1953,4.1803,13
56,0.1534,0.1442,1.3065,18
56,0.444,0.4291,4.9068,12
57,0.1236,0.3225,2.4299,14
58,0.4367,0.3463,4.6108,30
58,0.2667,0.1132,1.5445,14
58,0.3224,0.5,2.5125,19
58,0.1708,0.1959,2.3009,11
59,0.2704,0.1491,1.1182,30
59,0.3891,0.2786,5.0,22
60,0.2361,0.1,1.5554,16
60,0.1,0.21,1.0,13
60,0.5,0.2059,3.3692,26
61,0.5,0.1186,1.6727,22
61,0.5,0.5,1.2384,20
61,0.1215,0.1,4.9635,27
62,0.1,0.4191,2.5621,10
63,0.1146,0.241,1.4309,22
63,0.2408,0.2186,1.046,23
64,0.4542,0.2094,1.6142,10
64,0.2811,0.2522,2.2622,12
64,0.1135,0.315,4.9119,10
64,0.1802,0.1,2.3743,17
64,0.1392,0.2093,2.1356,15
67,0.2473,0.1,1.4353,14
68,0.2562,0.5,5.0,22
68,0.5,0.2413,1.5231,22
68,0.3467,0.3815,2.8891,21
69,0.1131,0.135,1.0,23
69,0.2826,0.2514,2.3948,30
70,0.2258,0.2169,5.0,21
70,0.5,0.4066,1.1688,22
70,0.3035,0.1728,1.5736,30
71,0.254,0.1,3.3423,16
72,0.404,0.4797,1.0,20
73,0.423,0.1079,5.0,30
74,0.1071,0.5,2.2178,22
74,0.1891,0.4541,1.0,21
74,0.5,0.2263,5.0,22
74,0.274,0.1601,1.6714,26
74,0.1905,0.1486,1.1483,26
75,0.3947,0.2409,1.0,11
75,0.3968,0.333,3.2947,25
75,0.4291,0.4166,1.9344,17
76,0.393,0.2507,5.0,14
76,0.1357,0.426,1.4265,19
77,0.121,0.2489,1.1007,11
77,0.2117,0.195,1.0,22
78,0.4373,0.3641,2.5229,22
79,0.4376,0.2133,1.1221,15
79,0.5,0.4365,3.017,25
79,0.1994,0.217,1.5662,20
79,0.1,0.2356,1.525,11
79,0.2908,0.2772,3.6223,24
80,0.1176,0.2068,3.2701,25
80,0.144,0.3772,1.0,25
81,0.5,0.2309,1.931,20
81,0.3214,0.2113,1.2816,23
81,0.1,0.4244,3.1779,18
81,0.4304,0.1744,1.1597,25
82,0.5,0.1088,1.427,25
83,0.1,0.293,2.9119,18
83,0.119,0.4348,1.0923,14
84,0.1,0.1774,3.7651,12
84,0.3332,0.1,3.9123,28
84,0.1,0.2764,5.0,21
85,0.4974,0.2468,1.8421,25
85,0.1058,0.2699,3.1648,14
86,0.2074,0.1247,1.3051,24
86,0.2122,0.5,1.3134,11
86,0.1413,0.199,3.6345,30
87,0.1,0.2124,1.8654,16
87,0.3834,0.1753,1.5602,17
88,0.143,0.5,1.1046,15
88,0.3068,0.5,3.77,18
89,0.261,0.437,1.3705,22
89,0.3609,0.2914,1.9733,18
89,0.1623,0.4241,2.2168,11
90,0.1807,0.3903,2.1492,18
90,0.413,0.2975,5.0,17
91,0.1374,0.3645,2.4231,23
93,0.1,0.1,5.0,18
93,0.3482,0.1482,1.1803,30
93,0.1,0.1436,3.4871,27
93,0.3525,0.2976,5.0,22
94,0.1,0.5,1.0,21
94,0.4189,0.4817,1.1143,30
96,0.1,0.2487,1.0,25
96,0.2725,0.1585,1.4198,11
96,0.1746,0.2761,1.8027,17
97,0.1,0.1567,4.2091,16
98,0.2056,0.1879,2.5152,25
98,0.1634,0.1871,3.0705,21
98,0.2556,0.1204,1.6288,17
98,0.5,0.1243,2.5522,24
99,0.3368,0.1778,1.3812,22
99,0.3125,0.5,5.0,24
102,0.1372,0.1224,3.1798,21
102,0.224,0.2369,2.3553,10
103,0.1102,0.3558,1.23,11
104,0.2922,0.5,3.2754,19
104,0.5,0.5,3.4122,28
105,0.4103,0.1716,4.3805,28
105,0.2526,0.2413,2.0134,26
105,0.5,0.1,2.2797,26
106,0.5,0.1299,1.0,10
107,0.1382,0.5,3.5033,11
107,0.3849,0.1,3.5435,20
107,0.5,0.3959,2.0124,22
107,0.2009,0.3538,2.6325,26
107,0.2048,0.5,1.0,18
108,0.3362,0.2311,2.0443,22
108,0.318,0.297,1.5651,26
108,0.1,0.2415,2.8117,14
108,0.2249,0.3237,4.1364,13
108,0.186,0.5,1.0,15
108,0.1433,0.1,1.0002,17
108,0.5,0.5,2.1558,10
108,0.2847,0.1829,2.3849,15
109,0.1,0.1918,2.1269,19
109,0.1188,0.5,2.8232,17
109,0.1799,0.5,2.1639,27
109,0.5,0.3911,1.3928,22
111,0.5,0.1,3.3426,23
111,0.3936,0.415,2.0896,26
112,0.5,0.2174,1.3796,22
114,0.5,0.1559,1.0,23
115,0.1,0.2104,5.0,25
115,0.3258,0.2587,5.0,11
118,0.156,0.1,4.9936,17
119,0.2227,0.2896,2.641,15
120,0.1303,0.3519,1.9495,25
121,0.1188,0.373,1.0,13
121,0.2569,0.1,1.0,28
121,0.2111,0.1,2.1729,23
121,0.4426,0.3638,1.27,28
121,0.121,0.3598,5.0,27
122,0.2679,0.5,3.5767,10
122,0.3139,0.4663,1.042,19
122,0.1485,0.3149,1.2464,24
123,0.5,0.1288,1.0627,26
123,0.1279,0.1911,1.0,28
123,0.1669,0.1034,1.0,15
126,0.1164,0.5,1.0602,22
126,0.1487,0.1537,2.5368,30
126,0.1449,0.3399,2.6431,15
126,0.5,0.5,5.0,26
127,0.5,0.3701,4.6756,24
128,0.3931,0.4688,1.8024,20
128,0.4542,0.5,2.1094,29
129,0.1926,0.2045,1.1718,17
130,0.5,0.4848,1.2394,22
130,0.1669,0.5,1.3364,12
130,0.259,0.5,1.128,11
131,0.2715,0.2358,1.0,25
131,0.4148,0.38,4.9673,15
132,0.1792,0.4595,5.0,17
134,0.119,0.2119,1.0042,15
135,0.2191,0.196,4.3298,27
135,0.1153,0.1168,1.0,21
140,0.2213,0.1293,1.0,28
141,0.3701,0.2006,3.1005,30
141,0.1989,0.2344,1.4619,16
142,0.1358,0.3032,2.342,21
142,0.1,0.3282,1.0326,24
145,0.447,0.3667,1.38,27
145,0.4124,0.12,5.0,16
146,0.4946,0.1519,1.0,18
146,0.1126,0.1564,1.8431,23
149,0.2958,0.5,1.3894,30
150,0.2135,0.4917,3.2868,14
152,0.2876,0.3082,1.8546,14
154,0.5,0.3012,1.5297,14
159,0.3765,0.5,1.0,11
163,0.1187,0.1,1.0,13
164,0.5,0.5,1.8557,26
164,0.184,0.1,2.3799,16
164,0.3932,0.1,1.942,18
165,0.1977,0.5,1.3177,15
165,0.2404,0.5,2.2023,16
168,0.4818,0.1823,1.872,21
170,0.1455,0.5,1.0881,17
172,0.192,0.3066,3.2907,14
174,0.1,0.3689,1.8263,26
175,0.4919,0.1459,3.2516,30
176,0.5,0.5,1.4583,23
178,0.5,0.5,1.7367,13
178,0.5,0.3488,1.817,20
178,0.1826,0.1288,1.0,21
178,0.2453,0.1347,2.8446,28
179,0.2522,0.5,1.1981,21
180,0.1638,0.1762,4.3042,27
185,0.1338,0.5,4.4772,29
186,0.4812,0.4332,1.6112,10
187,0.1959,0.2397,2.4059,20
190,0.2816,0.1379,2.2629,26
190,0.4447,0.2948,1.0,27
194,0.3487,0.131,3.6704,18
197,0.2035,0.156,3.1711,14
198,0.5,0.5,3.8232,22
202,0.2254,0.1623,1.7158,20
202,0.1327,0.5,5.0,13
203,0.2723,0.5,3.8091,22
205,0.2593,0.2024,1.5725,15
206,0.1854,0.1078,3.055,21
207,0.4071,0.5,1.4683,24
207,0.2511,0.1082,3.1379,25
208,0.5,0.1145,3.0854,28
210,0.1208,0.2365,2.9802,30
210,0.1796,0.228,5.0,16
212,0.2429,0.4091,5.0,12
216,0.2164,0.1999,5.0,24
217,0.2761,0.2463,1.0,23
217,0.5,0.3456,2.714,16
217,0.1945,0.1167,3.9624,12
218,0.2365,0.5,3.5136,17
218,0.1287,0.2168,1.08,30
219,0.2231,0.3587,1.0997,30
219,0.4079,0.2978,1.0,10
221,0.5,0.4795,5.0,23
222,0.3224,0.2083,2.0433,21
224,0.285,0.5,3.4132,23
225,0.2056,0.3783,1.6113,16
228,0.3445,0.2554,2.1142,11
228,0.4854,0.5,5.0,14
229,0.2527,0.2614,1.3489,10
230,0.1987,0.378,1.9807,10
230,0.1798,0.2591,1.0,28
230,0.1922,0.1081,2.3158,16
232,0.1577,0.3049,4.2019,20
233,0.1758,0.3104,2.2969,25
233,0.3623,0.1961,1.0,27
233,0.2354,0.2645,2.317,11
234,0.404,0.2704,2.4077,19
237,0.5,0.1,1.0,12
240,0.3173,0.226,1.2469,21
241,0.1087,0.2816,1.0,11
241,0.3018,0.1928,1.191,28
242,0.2697,0.1,1.7998,24
242,0.3132,0.4601,3.4844,28
242,0.1242,0.1554,3.8197,21
243,0.2306,0.5,3.6206,27
243,0.3149,0.1422,1.8112,18
243,0.2789,0.2697,2.4979,12
244,0.5,0.4955,1.7823,30
244,0.1043,0.1132,2.5931,13
246,0.2708,0.3145,3.916,12
247,0.1,0.2769,2.304,24
252,0.2913,0.1,2.7732,26
252,0.1,0.1465,3.7439,29
252,0.1,0.1883,5.0,27
253,0.349,0.2884,2.5807,29
254,0.1,0.2262,1.5622,22
254,0.2387,0.2285,3.8229,21
254,0.3705,0.1263,1.0967,30
254,0.1653,0.2377,1.4891,24
254,0.1414,0.4347,3.6438,15
254,0.4362,0.2344,2.7611,26
257,0.1912,0.2026,1.8886,17
257,0.3871,0.5,5.0,18
257,0.1938,0.2047,1.6704,10
257,0.492,0.1,2.412,26
258,0.3326,0.5,1.1483,12
258,0.4984,0.5,3.1523,29
258,0.5,0.4863,1.1922,18
258,0.5,0.3855,2.2504,27
260,0.2595,0.3518,2.5728,16
260,0.1449,0.2577,1.9214,25
260,0.2288,0.198,1.2784,11
260,0.2018,0.2839,5.0,22
260,0.3373,0.1026,5.0,13
260,0.2019,0.268,4.9244,22
261,0.3575,0.2702,3.3711,17
262,0.2256,0.1837,1.4496,27
262,0.2411,0.2967,1.3265,12
262,0.1663,0.1675,5.0,14
262,0.3112,0.2059,1.4191,28
262,0.1456,0.5,1.0,22
262,0.2431,0.2115,1.0,13
263,0.3686,0.3491,3.4317,13
263,0.1855,0.3705,1.0,29
264,0.1588,0.2132,1.0,17
264,0.1,0.3233,2.3773,17
264,0.3207,0.1337,4.1521,27
265,0.1507,0.344,2.6763,15
265,0.1058,0.1,1.8551,26
265,0.5,0.2553,1.4213,15
265,0.1091,0.2339,1.3382,13
266,0.1276,0.1,2.8462,16
266,0.1772,0.481,2.5036,28
266,0.2813,0.5,1.7646,16
267,0.1514,0.1214,1.0,29
267,0.4798,0.1985,3.4925,18
268,0.2,0.3175,2.1561,22
269,0.2241,0.1646,1.185,10
269,0.2161,0.1886,2.612,11
270,0.3776,0.1669,1.7154,11
270,0.1543,0.4218,1.0,12
271,0.3682,0.2862,1.1779,16
271,0.5,0.3584,1.1151,21
272,0.5,0.2814,3.4382,29
272,0.1116,0.1976,1.9916,28
272,0.1924,0.1,5.0,10
272,0.2697,0.1031,4.291,16
273,0.3053,0.3957,2.8659,18
273,0.3666,0.5,2.4941,30
274,0.122,0.1,5.0,23
274,0.2497,0.1812,5.0,26
275,0.5,0.479,1.7211,16
275,0.3855,0.5,1.9266,24
276,0.1,0.1878,5.0,11
276,0.2069,0.5,3.0555,18
276,0.5,0.1967,1.5881,21
276,0.2843,0.3044,1.0,14
276,0.3066,0.242,3.4193,17
277,0.4126,0.1573,1.8238,27
278,0.2588,0.5,3.7595,21
279,0.3455,0.3776,1.0,16
279,0.3413,0.4173,1.7519,15
279,0.476,0.1805,1.9347,30
280,0.2495,0.1911,3.4172,17
281,0.1279,0.3269,2.1822,20
283,0.1095,0.219,1.0,30
284,0.2338,0.451,2.5548,11
284,0.132,0.128,1.0,23
285,0.3709,0.4374,1.2845,29
286,0.2874,0.3509,1.3029,28
286,0.5,0.2048,3.5836,29
286,0.2164,0.3563,2.8058,25
287,0.1555,0.1295,2.4519,21
287,0.109,0.2366,2.3928,29
287,0.2657,0.1215,1.3651,11
289,0.3001,0.1083,2.0019,24
289,0.148,0.1,5.0,30
289,0.4311,0.3867,1.2164,10
289,0.2616,0.2001,3.9771,27
290,0.1547,0.3158,1.0,27
290,0.3262,0.141,2.2958,13
291,0.1011,0.1,4.8701,20
291,0.348,0.1015,5.0,25
291,0.3351,0.3183,2.1727,20
292,0.2092,0.1678,1.2071,24
292,0.1483,0.3065,2.5726,22
292,0.2325,0.3179,2.9431,17
293,0.1556,0.5,1.0,10
293,0.2476,0.4306,1.0967,30
294,0.3315,0.1942,2.2573,10
295,0.3558,0.1699,1.0,25
296,0.3139,0.2366,1.378,25
296,0.3166,0.1954,4.4489,17
297,0.1348,0.2314,1.9939,15
297,0.1545,0.4198,1.0,25
298,0.2757,0.259,1.0,23
298,0.1,0.3399,5.0,27
298,0.1471,0.2794,2.7824,20
298,0.345,0.1896,1.0,18
299,0.3077,0.183,1.0,24
300,0.3608,0.1202,3.9476,24
300,0.2166,0.1218,1.0,16
300,0.2375,0.161,2.1623,11
300,0.247,0.2377,2.0295,21
300,0.2923,0.2934,3.9485,27
300,0.3785,0.2714,1.5078,29
301,0.1816,0.2578,2.0233,11
303,0.1402,0.2718,3.5944,24
303,0.3552,0.3805,1.0,27
305,0.1125,0.2557,3.1602,11
305,0.3357,0.5,1.7621,21
305,0.1699,0.3658,1.1636,26
306,0.2031,0.4103,3.2611,27
306,0.4061,0.2867,1.0,12
307,0.1374,0.2878,1.0,22
307,0.2274,0.2447,1.2964,21
308,0.5,0.3209,1.204,29
308,0.2369,0.3536,1.3404,18
308,0.1758,0.3826,2.2081,27
308,0.1495,0.3704,5.0,19
308,0.1536,0.3779,1.0,19
309,0.2957,0.4611,1.0,15
309,0.37,0.1963,1.6482,17
310,0.145,0.5,3.3835,28
311,0.3395,0.1853,2.4954,12
312,0.5,0.5,2.5935,30
313,0.2611,0.4996,1.3761,26
313,0.1891,0.1735,5.0,10
313,0.1,0.2924,1.0539,29
315,0.2389,0.2024,1.3924,30
315,0.1227,0.3956,5.0,29
315,0.3812,0.2021,2.6993,18
315,0.3278,0.1061,1.1909,25
315,0.1,0.2498,1.6007,27
315,0.1428,0.256,2.5174,19
315,0.1,0.5,1.455,19
315,0.4628,0.2307,1.3517,20
316,0.2839,0.4851,3.037,18
317,0.3881,0.479,5.0,14
318,0.1677,0.1,3.3299,24
318,0.2722,0.485,1.3738,20
319,0.1426,0.1366,3.568,17
319,0.263,0.3035,1.1401,26
319,0.2812,0.357,1.0,28
320,0.1942,0.1005,1.0,10
320,0.1648,0.5,1.0,26
321,0.5,0.191,2.8906,17
323,0.2714,0.4274,1.5,30
324,0.2077,0.166,1.2439,19
325,0.1823,0.5,1.2482,12
325,0.1589,0.1941,2.3522,20
325,0.1015,0.3208,5.0,29
327,0.2023,0.2172,4.7365,10
327,0.2359,0.3514,3.3205,22
327,0.3542,0.5,2.4477,28
328,0.5,0.2092,1.9199,17
329,0.171,0.3436,1.1248,29
332,0.3827,0.2177,2.0066,16
333,0.1,0.1487,1.9649,23
333,0.3108,0.4508,1.1863,27
334,0.5,0.2477,1.0473,16
334,0.2145,0.2766,4.8106,13
335,0.2675,0.2138,1.4211,10
335,0.1823,0.5,1.4164,24
336,0.207,0.1724,5.0,15
336,0.1644,0.2736,1.0,28
336,0.4372,0.3755,2.2004,14
336,0.3939,0.3603,1.7951,13
337,0.2664,0.5,2.1045,12
337,0.244,0.1948,4.1304,14
338,0.2694,0.1225,1.0,20
338,0.1687,0.2198,2.0327,12
338,0.5,0.1197,2.0091,18
340,0.4396,0.2397,3.8103,27
340,0.3474,0.2082,2.8229,17
341,0.5,0.2536,2.019,25
341,0.1316,0.2562,3.0565,23
341,0.3907,0.3008,4.2077,17
342,0.5,0.2963,1.0,26
343,0.1833,0.2462,1.8093,29
343,0.1722,0.2657,1.0,28
343,0.1712,0.2046,1.6205,29
343,0.2443,0.1985,1.4877,21
343,0.4189,0.4346,1.0,18
344,0.3225,0.2135,2.5841,14
345,0.4396,0.4283,2.358,24
345,0.4084,0.1905,1.0,16
346,0.5,0.1398,1.1502,17
346,0.5,0.3849,1.6001,17
346,0.1456,0.1953,1.8606,30
347,0.5,0.3723,1.1609,11
347,0.1899,0.3808,3.8817,28
347,0.3044,0.2174,1.2362,11
347,0.4745,0.1,2.0763,17
347,0.147,0.1943,5.0,27
347,0.1306,0.5,1.4278,20
347,0.2123,0.4861,1.399,24
347,0.2845,0.5,1.0,15
348,0.1946,0.5,1.7072,19
348,0.3059,0.4846,3.3853,28
348,0.1,0.1,2.8321,13
348,0.1775,0.2015,1.0599,30
349,0.1431,0.4167,1.1102,18
349,0.1652,0.1768,4.5508,20
350,0.2493,0.3577,3.1033,19
350,0.3298,0.3004,1.8795,13
352,0.2276,0.5,4.5179,29
353,0.1,0.295,2.7398,28
353,0.379,0.2979,1.0,26
356,0.1641,0.5,1.0,28
358,0.2211,0.1488,1.0171,12
359,0.249,0.2783,4.6005,28
359,0.1,0.199,2.7492,13
360,0.1,0.119,1.0,23
361,0.4682,0.1111,2.0007,30
361,0.392,0.4248,1.489,13
361,0.1581,0.2384,1.3361,13
363,0.1,0.5,2.1289,16
363,0.1215,0.1,5.0,14
363,0.2464,0.1314,1.8648,10
363,0.1943,0.1,5.0,23
364,0.5,0.3117,1.0,26
367,0.1045,0.1338,2.0125,26
368,0.3218,0.2702,1.6196,19
368,0.2048,0.3182,3.8767,22
369,0.1522,0.4056,3.9949,12
370,0.1713,0.1785,2.449,14
371,0.2452,0.171,2.2037,24
372,0.3234,0.5,1.0823,14
372,0.1459,0.2077,1.163,12
372,0.5,0.106,2.8611,24
373,0.2779,0.1407,1.1486,17
373,0.2382,0.1431,2.1278,26
374,0.3105,0.3652,1.0,11
375,0.5,0.1358,2.9505,29
381,0.2272,0.1,2.6188,20
382,0.2957,0.1905,1.5354,25
383,0.1642,0.3928,1.0,12
385,0.3505,0.2483,1.5605,24
385,0.2069,0.1741,1.1972,29
387,0.2019,0.1,1.5525,22
387,0.1,0.1482,1.2616,23
388,0.5,0.2611,2.5826,16
389,0.1234,0.1385,1.2346,11
390,0.2016,0.5,1.7179,11
390,0.3794,0.1246,2.8845,26
392,0.1101,0.2213,2.0909,27
394,0.1929,0.2531,2.4287,13
395,0.226,0.1577,1.9407,25
396,0.232,0.3092,1.618,25
397,0.1997,0.1366,1.0,14
398,0.1571,0.3367,2.811,19
